Year,Passenger Count
2005,24815.58357348703
2006,24348.407596785975
2007,25233.55713271824
2008,25983.72505233775
2009,26804.696338837042
2010,28506.388525780683
2011,29764.63709090909
2012,32598.00073421439
2013,33389.846953937595
2014,34540.862170087974
2015,34286.22397260274
2016,30808.212938005392
